"disasterNumber","declarationYear","incidentType","applicationTitle","damageCategoryCode","projectSize","stateNumberCode","projectAmount","federalShareObligated","totalObligated","obligatedDate"
1871,2010,"Severe Storm(s)","EMBPF01 - Emergency Protective Measures","B - Protective Measures","Small","37",3278.19,2458.64,2458.64,"2010-03-05T03:25:47.000Z"
1871,2010,"Severe Storm(s)","MEARB01 - Mountain Electric Corp. Distribution System","A - Debris Removal","Large","37",86032.01,64524.01,64524.01,"2010-04-02T01:01:58.000Z"
1871,2010,"Severe Storm(s)","HWFRB01 - Haywood Electric Distribution System","F - Public Utilities","Large","37",521237.63,390928.22,390928.22,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","HWARB01 - Haywood Electric Distribution System","A - Debris Removal","Large","37",117974.51,88480.88,88480.88,"2010-04-02T01:01:58.000Z"
1871,2010,"Severe Storm(s)","HWBRB01 - Haywood Electric Distribution System","B - Protective Measures","Small","37",30724.4,23043.3,23043.3,"2010-03-09T21:39:06.000Z"
1871,2010,"Severe Storm(s)","MEBRB01 - Mountain Electric Coop. Distribution System","B - Protective Measures","Small","37",9618.53,7213.9,7213.9,"2010-03-10T04:59:41.000Z"
1871,2010,"Severe Storm(s)","FBBRB01 - French Broad Electric Membership Corporation","B - Protective Measures","Small","37",53802.08,40351.56,40351.56,"2010-03-17T00:58:03.000Z"
1871,2010,"Severe Storm(s)","BRARB01 - Blue Ridge EMC Distribution System","A - Debris Removal","Large","37",177433.33,133075,133075,"2010-04-02T22:03:44.000Z"
1871,2010,"Severe Storm(s)","BRFRB01 - Blue Ridge EMC Distribution System","F - Public Utilities","Large","37",1802759.12,1352069.34,1352069.34,"2010-08-27T03:24:26.000Z"
1871,2010,"Severe Storm(s)","BRBRB01  - Emergency Protective Measures","B - Protective Measures","Large","37",68163.63,51122.72,51122.72,"2010-03-17T00:58:03.000Z"
1871,2010,"Severe Storm(s)","MEFRB01 - Mountain Electric Cooperative Dist. System","F - Public Utilities","Large","37",1135276.78,851457.59,851457.59,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","NGBPF03 - Emergency Protective Measures","B - Protective Measures","Small","37",13764.95,10323.71,10323.71,"2010-03-10T04:59:41.000Z"
1871,2010,"Severe Storm(s)","RUFRB01 - Rutherford Electric Distribution system","F - Public Utilities","Large","37",80196.44,60147.33,60147.33,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","RUBRB01 - Rutherford EMC Distribution System","B - Protective Measures","Small","37",5364.91,4023.68,4023.68,"2010-03-17T00:58:03.000Z"
1871,2010,"Severe Storm(s)","FBARB01 - French Broad EMC Distribution System","A - Debris Removal","Large","37",126770.14,95077.61,95077.61,"2010-04-02T01:01:58.000Z"
1871,2010,"Severe Storm(s)","FBFRB01 - French Broad EMC Distribution System","F - Public Utilities","Large","37",1653442.89,1240082.17,1240082.17,"2010-08-27T03:24:26.000Z"
1871,2010,"Severe Storm(s)","PKBPF02 - Altnernate Power Source Generation","B - Protective Measures","Small","37",15776,11832,11832,"2010-03-29T16:08:12.000Z"
1871,2010,"Severe Storm(s)","HWFRB02 - Haywood EMC Dist. System/Great Smoky Nat. Par","F - Public Utilities","Large","37",224667.97,168500.98,168500.98,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","MEBBC01 - Approximately 0.5 miles of 3 phase power line","B - Protective Measures","Small","37",53286.15,39964.61,39964.61,"2010-03-23T16:37:06.000Z"
1871,2010,"Severe Storm(s)","DTBPF05 - Emergency Prtotective Measurers - IMAP","B - Protective Measures","Small","37",2923.68,2192.76,2192.76,"2010-03-23T16:37:06.000Z"
1871,2010,"Severe Storm(s)","FRBPF06 - Emergency Protective Measures","B - Protective Measures","Small","37",21071.18,15803.39,15803.39,"2010-03-26T18:58:56.000Z"
1871,2010,"Severe Storm(s)","MEFRB02 - Mountain Electric Cooperative Distribution Sy","F - Public Utilities","Small","37",26365.92,19774.44,19774.44,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","DTBPF07 - Emergency Protective Meas. Salt, Sand &Brine","B - Protective Measures","Large","37",0,0,0,"2010-03-23T01:26:32.000Z"
1871,2010,"Severe Storm(s)","STFTM08 - Telephone Distribution System","F - Public Utilities","Large","37",89148.17,66861.13,66861.13,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","DTAPF08 - Vegetative Debris on State Maintained Rd ","A - Debris Removal","Large","37",5930642.07,4447981.56,4447981.56,"2010-03-29T16:08:12.000Z"
1871,2010,"Severe Storm(s)","STFTM09 - Telephone Distribution System","F - Public Utilities","Large","37",111453.32,83589.99,83589.99,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","MJADB08 - Park Roads","A - Debris Removal","Small","37",4820.3,3615.23,3615.23,"2010-03-31T19:13:22.000Z"
1871,2010,"Severe Storm(s)","HPBPF04 - Emergency Protective Measures","B - Protective Measures","Large","37",114562.36,85921.77,85921.77,"2010-03-31T19:13:22.000Z"
1871,2010,"Severe Storm(s)","DTAPF11 -Vegetative Debris on State Maintained Roads","A - Debris Removal","Large","37",226548.78,169911.59,169911.59,"2010-05-14T16:47:17.000Z"
1871,2010,"Severe Storm(s)","DTAPF10 -  Vegetative Debris on State Maintained Roads","A - Debris Removal","Large","37",158670.77,119003.08,119003.08,"2010-05-14T16:47:17.000Z"
1871,2010,"Severe Storm(s)","DTCPF12- Road Slope Failure","C - Roads and Bridges","Large","37",33360.9,25020.67,25020.67,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","DTARB01 - State Maintained Primary and Secondary Roads","A - Debris Removal","Large","37",581885.19,436413.89,436413.89,"2010-05-14T16:47:17.000Z"
1871,2010,"Severe Storm(s)","DTARB03 - State Maintained Primary and Secondary Roads","A - Debris Removal","Large","37",384897.19,288672.89,288672.89,"2010-05-14T16:47:17.000Z"
1871,2010,"Severe Storm(s)","DTARB04 - State Maintained Primary and Secondary Roads","A - Debris Removal","Large","37",38476.39,28857.29,28857.29,"2010-05-14T16:47:17.000Z"
1871,2010,"Severe Storm(s)","DTARB02 - State Maintained Primary and Secondary Roads","A - Debris Removal","Large","37",789061.07,591795.81,591795.81,"2010-06-22T20:25:30.000Z"
1871,2010,"Severe Storm(s)","DTARB05 - State Maintained Primary and Secondary Roads","A - Debris Removal","Large","37",122765.93,92074.45,92074.45,"2010-06-22T20:25:30.000Z"
1871,2010,"Severe Storm(s)","DTAPF09 - Vegetative Debris on State Maintained Roads","A - Debris Removal","Large","37",115580.14,86685.1,86685.1,"2010-05-14T16:47:17.000Z"
1871,2010,"Severe Storm(s)","DTCPF17 - Road Slope Failure","C - Roads and Bridges","Large","37",25823.49,19367.62,19367.62,"2010-08-18T22:53:12.000Z"
