"","disasterNumber","declarationDate","incidentType","pwNumber","applicationTitle","applicantId","damageCategoryCode","dcc","damageCategory","projectSize","county","countyCode","state","stateCode","stateNumberCode","projectAmount","federalShareObligated","totalObligated","obligatedDate","hash","lastRefresh","id"
"1",1292,"1999-09-16T04:00:00.000Z","Hurricane",4,"EMERGENCY PROTECTIVE MEASURES","065-99065-00","B - Protective Measures","B","Protective Measures","Large","Edgecombe",65,"North Carolina","NC",37,180775,135581.25,143000.69,"1999-09-28T01:30:04.000Z","dcdd96fbaf21090d5882d8cf297991d8","2020-06-15T11:19:32.676Z","5ee75944556129600dd56981"
"2",1292,"1999-09-16T04:00:00.000Z","Hurricane",2,"IMMEDIATE NEEDS FUNDING","019-UPT3R-00","A - Debris Removal","A","Debris Removal","Large","Brunswick",19,"North Carolina","NC",37,266667,200000.25,211460.26,"1999-09-27T17:27:25.000Z","f87e0f6b242ddf40c6ff5240eeb3d904","2020-06-15T11:19:32.677Z","5ee75944556129600dd56982"
"3",1292,"1999-09-16T04:00:00.000Z","Hurricane",3,"Not Provided","019-UPT3R-00","A - Debris Removal","A","Debris Removal","Large","Brunswick",19,"North Carolina","NC",37,-266667,-200000.25,-206360.26,"1999-12-01T03:40:51.000Z","1e0fb36b248fffb1482467c300dabfa4","2020-06-15T11:19:32.678Z","5ee75944556129600dd56983"
"4",1292,"1999-09-16T04:00:00.000Z","Hurricane",5,"Not Provided","065-99065-00","B - Protective Measures","B","Protective Measures","Large","Edgecombe",65,"North Carolina","NC",37,-180775,-135581.25,-138399.74,"2000-01-10T23:23:01.000Z","17277e9667b04bcc0af865cdb56c7852","2020-06-15T11:19:32.679Z","5ee75944556129600dd56984"
"5",1292,"1999-09-16T04:00:00.000Z","Hurricane",6,"DEBRIS REMOVAL","133-47845-00","A - Debris Removal","A","Debris Removal","Large","Onslow",133,"North Carolina","NC",37,313729,235296.75,247422.75,"1999-09-28T01:30:04.000Z","3aa2d5612aefa298dc5ffe09ccf406d9","2020-06-15T11:19:32.680Z","5ee75944556129600dd56985"
"6",1292,"1999-09-16T04:00:00.000Z","Hurricane",7,"Not Provided","133-47845-00","A - Debris Removal","A","Debris Removal","Large","Onslow",133,"North Carolina","NC",37,-313729,-235296.75,-243784.18,"1999-11-16T23:22:53.000Z","57be0c53a12f2005364312aff71d895c","2020-06-15T11:19:32.690Z","5ee75944556129600dd56987"
"7",1292,"1999-09-16T04:00:00.000Z","Hurricane",8,"DEBRIS REMOVAL","095-99095-00","A - Debris Removal","A","Debris Removal","Large","Hyde",95,"North Carolina","NC",37,185025,138768.75,148821.6,"1999-09-28T18:43:58.000Z","913a42096a8bd3f53e2189a4813bf496","2020-06-15T11:19:32.691Z","5ee75944556129600dd56988"
"8",1292,"1999-09-16T04:00:00.000Z","Hurricane",12,"DEBRIS REMOVAL","141-66040-00","A - Debris Removal","A","Debris Removal","Large","Pender",141,"North Carolina","NC",37,150000,112500,118683.99,"1999-09-29T00:02:57.000Z","7c24a061a6d73284c9fa327d4212ba95","2020-06-15T11:19:32.692Z","5ee75944556129600dd56989"
"9",1292,"1999-09-16T04:00:00.000Z","Hurricane",13,"Not Provided","141-66040-00","A - Debris Removal","A","Debris Removal","Large","Pender",141,"North Carolina","NC",37,-150000,-112500,-117082.5,"1999-10-27T00:43:52.000Z","bad7a86db94306b72b8c9243084650e9","2020-06-15T11:19:32.693Z","5ee75944556129600dd5698a"
"10",1292,"1999-09-16T04:00:00.000Z","Hurricane",9,"Not Provided","095-99095-00","A - Debris Removal","A","Debris Removal","Large","Hyde",95,"North Carolina","NC",37,-185025,-138768.75,-144186.6,"2000-02-22T20:40:47.000Z","ac3bcbf7404bb79cc118a0eddd8cf29c","2020-06-15T11:19:32.694Z","5ee75944556129600dd5698b"
